speech_id,line_id,sentence_id,bert anger,nrc anger no 0,NRC anger,valence,arousal,dominance
S044,1,4,0.694544137,,0,0.764666667,0.45,0.687
S044,1,5,0.696053922,,0,0.70075,0.43525,0.57225
S044,1,6,0.671179354,,0,0.770666667,0.480333333,0.540333333
S044,1,7,0.661216319,,0,0.76425,0.42575,0.663
S044,2,0,0.667087495,0.142857143,0.142857143,0.5804,0.3935,0.6059
S044,2,1,0.675979376,,0,0.6026,0.3562,0.6442
S044,2,2,0.661462486,,0,0.632,0.308666667,0.493
S044,2,3,0.690389514,,0,0.7355,0.378,0.4365
S044,2,4,0.690389514,,0,0.7355,0.378,0.4365
S044,3,0,0.68495816,,0,0.670285714,0.537,0.604857143
S044,3,1,0.710424781,,0,1,0.519,0.673
S044,3,2,0.687658548,,0,0.723375,0.417375,0.63225
S044,3,3,0.603485107,,0,0.74,0.352,0.71
S044,4,0,0.684143186,,0,0.68475,0.362,0.5775
S044,5,0,0.669322491,,0,0.6297,0.3489,0.5147
S044,5,1,0.672326863,,0,0.766,0.524333333,0.694333333
S044,5,2,0.674372315,,0,0.702333333,0.458333333,0.628666667
S044,5,3,0.674372315,,0,0.702333333,0.458333333,0.628666667
S044,5,4,0.689672351,,0,0.641666667,0.293333333,0.565666667
S044,5,5,0.672984183,0.1,0.1,0.636928571,0.456714286,0.686928571
S044,5,6,0.671293437,0.333333333,0.333333333,0.568333333,0.491666667,0.691666667
S044,5,7,0.696010232,,0,0.501666667,0.467,0.745666667
S044,6,0,0.688394547,0.333333333,0.333333333,0.63175,0.4505,0.492
S044,6,1,0.685021639,1,1,0.082,0.817,0.506
S044,6,2,0.676811695,,0,0.3265,0.6135,0.521
S044,6,3,0.700212419,,0,0.61975,0.492,0.563
S044,6,4,0.685243368,,0,0.6472,0.42,0.5784
S044,6,5,0.616313636,,0,0.6325,0.3225,0.534
S044,6,6,0.704202235,,0,0.684714286,0.401428571,0.556285714
S044,6,7,0.677823842,0.333333333,0.333333333,0.6378,0.4132,0.637
S044,6,8,0.669367194,,0,0.5816,0.448,0.5464
S044,6,9,0.668905973,,0,0.53225,0.469,0.5065
S044,7,0,0.695466816,0.166666667,0.166666667,0.676777778,0.444555556,0.610444444
S044,7,1,0.691400111,,0,0.629,0.572,0.681
S044,8,0,0.713091969,0.25,0.25,0.4616,0.6276,0.6414
S044,8,1,0.704211414,0.25,0.25,0.545571429,0.611714286,0.623285714
S044,9,0,0.667653501,0.222222222,0.222222222,0.564111111,0.425222222,0.616555556
S044,9,1,0.702216566,0.4,0.4,0.455333333,0.538833333,0.5335
S044,10,0,0.681276858,,0,0.593142857,0.401,0.537857143
S044,10,1,0.609869123,,0,0.6145,0.25,0.37
S044,11,0,0.671324074,0.2,0.2,0.505857143,0.509142857,0.515857143
S044,11,1,0.666291177,,0,0.6085,0.371,0.61
S044,11,2,0.660615742,,0,0.613333333,0.347,0.539666667
S044,11,3,0.651730895,,0,0.706666667,0.439333333,0.601333333
S044,11,4,0.668447852,,0,0.550666667,0.344666667,0.406
S044,11,5,0.665970981,0.5,0.5,0.7095,0.756,0.7975
S044,11,6,0.67165041,0.166666667,0.166666667,0.778142857,0.535428571,0.746714286
S044,12,0,0.618126214,,0,0.883,0.4855,0.8305
S044,13,0,0.671757519,,0,0.634909091,0.38,0.512
S044,13,1,0.669715047,,0,0.765,0.361,0.704
S044,13,2,0.676059008,0.2,0.2,0.624857143,0.434428571,0.605142857
S044,13,3,0.674954474,0.166666667,0.166666667,0.609727273,0.433272727,0.591727273
S044,13,4,0.685278296,0.2,0.2,0.581142857,0.560428571,0.621857143
S044,13,5,0.69697541,,0,0.717375,0.497625,0.6395
S044,13,6,0.674975455,,0,0.539142857,0.468571429,0.520714286
S044,13,7,0.653844416,,0,0.61,0.4788,0.5862
S044,13,8,0.667149603,,0,0.635666667,0.352,0.480333333
S044,14,0,0.682999432,,0,0.684833333,0.372916667,0.64625
S044,14,1,0.682532668,,0,0.701222222,0.432666667,0.607888889
S044,14,2,0.654135406,,0,0.641666667,0.520111111,0.647444444
S044,14,3,0.70298332,,0,0.5825,0.29325,0.57925
S044,14,4,0.664693892,,0,0.658333333,0.395666667,0.673666667
S044,14,5,0.673281074,,0,0.626727273,0.367909091,0.534272727
S044,14,6,0.663149536,,0,0.5084,0.3002,0.4664
S044,15,0,0.664385498,,0,0.6196,0.4709,0.6644
S044,15,1,0.65834862,,0,0.67375,0.435,0.58675
S044,15,2,0.653339446,0.2,0.2,0.4102,0.567,0.4856
S044,15,3,0.664254665,,0,0.597,0.4682,0.509
S044,16,0,0.6816594,0.2,0.2,0.5665,0.5056,0.6662
S044,16,1,0.684259772,0.166666667,0.166666667,0.813833333,0.517333333,0.716833333
S044,16,2,0.67263633,,0,0.69575,0.480375,0.662625
S044,17,0,0.662466705,,0,0.7378,0.4568,0.6028
S044,17,1,0.659157693,0.25,0.25,0.6815,0.63725,0.7135
S044,17,2,0.680343688,,0,0.4892,0.3056,0.4622
S044,17,3,0.672916412,,0,0.5065,0.27025,0.46925
S044,17,4,0.657094896,0.181818182,0.181818182,0.695428571,0.481571429,0.677785714
S044,17,5,0.667139053,0.214285714,0.214285714,0.520944444,0.553722222,0.646944444
S044,17,6,0.660388291,0.25,0.25,0.729142857,0.526857143,0.763571429
S044,18,0,0.670390546,0.142857143,0.142857143,0.5884375,0.512875,0.6320625
S044,18,1,0.6622293,,0,0.538,0.545,0.5615
S044,18,2,0.681353867,,0,0.480833333,0.546333333,0.609666667
S044,18,3,0.696703613,0.666666667,0.666666667,0.201333333,0.769666667,0.520666667
S044,18,4,0.684954524,,0,0.4835,0.552,0.5626
S044,19,0,0.671287,,0,0.652416667,0.392333333,0.5505
S044,19,1,0.67074275,,0,0.686714286,0.367,0.563857143
S044,19,2,0.683612108,,0,0.634333333,0.303333333,0.496666667
S044,19,3,0.672949612,,0,0.6055,0.21,0.4535
S044,19,4,0.672911048,0.2,0.2,0.61876,0.4208,0.62144
S044,20,0,0.677115381,0.166666667,0.166666667,0.635375,0.467875,0.597125
S044,20,1,0.698740304,,0,0.584666667,0.441333333,0.624222222
S044,20,2,0.676119745,0.333333333,0.333333333,0.4886,0.5664,0.6644
S044,20,3,0.683141589,,0,0.5908,0.4236,0.5246
S044,20,4,0.667287946,,0,0.629428571,0.375142857,0.61347619
S044,20,5,0.691744685,,0,0.6442,0.384,0.5612
S044,20,6,0.691324174,,0,0.849,0.4565,0.683
S044,20,7,0.691324174,,0,0.849,0.4565,0.683
S044,20,8,0.665918112,0.2,0.2,0.682333333,0.492666667,0.667111111
S044,20,9,0.676489234,,0,0.682090909,0.391,0.585727273
S044,20,10,0.685989678,,0,0.716230769,0.371846154,0.532461538
S044,20,11,0.664373815,,0,0.699833333,0.3815,0.454333333
S044,20,12,0.637244344,,0,0.786,0.408,0.618
S044,20,13,0.672713578,,0,0.693857143,0.31,0.550142857
S044,20,14,0.658946633,,0,,,
S044,20,15,0.658946633,,0,,,
S044,21,0,0.664307117,0.166666667,0.166666667,0.666714286,0.477714286,0.668714286
S044,21,1,0.674887061,,0,0.630272727,0.428545455,0.557
S044,21,2,0.668011546,,0,0.667333333,0.609333333,0.606333333
S044,21,3,0.680690765,,0,0.6262,0.4728,0.621
S044,21,4,0.652501523,,0,0.6615,0.498,0.625
S044,21,5,0.661713839,0.333333333,0.333333333,0.8108,0.5694,0.7756
S044,22,0,0.670236051,,0,0.5522,0.3644,0.545
S044,22,1,0.661870301,,0,0.568666667,0.367333333,0.537666667
S044,22,2,0.682358503,,0,0.751166667,0.456166667,0.6125
S044,22,3,0.667978823,,0,0.74125,0.5095,0.665625
S044,23,0,0.678729832,,0,0.5965,0.46775,0.48775
S044,23,1,0.663365006,,0,0.457,0.431333333,0.382666667
S044,23,2,0.671317518,0.333333333,0.333333333,0.56125,0.47975,0.48375
S044,23,3,0.66894573,,0,0.678,0.559285714,0.576428571
S044,24,0,0.686657667,0.1,0.1,0.618,0.467090909,0.601454545
S044,24,1,0.679063559,,0,0.8085,0.49,0.7205
S044,24,2,0.679063559,,0,0.8085,0.49,0.7205
S044,24,3,0.674292564,,0,0.629333333,0.352,0.402333333
S044,24,4,0.685751259,,0,0.767,0.466666667,0.640333333
S044,24,5,0.681520224,0.2,0.2,0.6757,0.3877,0.5947
S044,24,6,0.66952914,,0,0.758,0.428,0.4535
S044,24,7,0.634334683,,0,0.6015,0.3975,0.3805
S044,24,8,0.667802751,,0,0.640666667,0.488333333,0.571333333
S044,24,9,0.655691206,,0,0.571,0.37275,0.46275
S044,24,10,0.675165653,,0,0.668166667,0.376666667,0.518833333
S044,25,0,0.690552175,,0,0.786166667,0.3875,0.7225
S044,26,0,0.671738029,,0,0.7355,0.378,0.4365
S044,26,1,0.70209074,,0,0.682,0.320333333,0.474666667
S044,26,2,0.668238819,,0,0.7355,0.378,0.4365
S044,26,3,0.675320089,,0,0.711,0.3945,0.449
S044,26,4,0.723828912,,0,0.6756,0.5112,0.5064
S044,27,0,0.701257527,0.25,0.25,0.718428571,0.46,0.624857143
S044,27,1,0.682893157,,0,0.749,0.38375,0.57725
S044,27,2,0.711315513,,0,0.793222222,0.527,0.737555556
S044,27,3,0.687418163,,0,0.5625,0.34225,0.53625
S044,27,4,0.694544137,,0,0.764666667,0.45,0.687
S044,27,5,0.696053922,,0,0.70075,0.43525,0.57225
S044,27,6,0.671179354,,0,0.770666667,0.480333333,0.540333333
S044,27,7,0.661216319,,0,0.76425,0.42575,0.663
S044,28,0,0.667087495,0.142857143,0.142857143,0.5804,0.3935,0.6059
S044,28,1,0.675979376,,0,0.6026,0.3562,0.6442
S044,28,2,0.661462486,,0,0.632,0.308666667,0.493
S044,28,3,0.690389514,,0,0.7355,0.378,0.4365
S044,28,4,0.690389514,,0,0.7355,0.378,0.4365
S044,29,0,0.68495816,,0,0.670285714,0.537,0.604857143
S044,29,1,0.710424781,,0,1,0.519,0.673
S044,29,2,0.687658548,,0,0.723375,0.417375,0.63225
S044,29,3,0.603485107,,0,0.74,0.352,0.71
S044,30,0,0.684143186,,0,0.68475,0.362,0.5775
S044,31,0,0.669322491,,0,0.6297,0.3489,0.5147
S044,31,1,0.672326863,,0,0.766,0.524333333,0.694333333
S044,31,2,0.674372315,,0,0.702333333,0.458333333,0.628666667
S044,31,3,0.674372315,,0,0.702333333,0.458333333,0.628666667
S044,31,4,0.689672351,,0,0.641666667,0.293333333,0.565666667
S044,31,5,0.672984183,0.1,0.1,0.636928571,0.456714286,0.686928571
S044,31,6,0.671293437,0.333333333,0.333333333,0.568333333,0.491666667,0.691666667
S044,31,7,0.696010232,,0,0.501666667,0.467,0.745666667
S044,32,0,0.688394547,0.333333333,0.333333333,0.63175,0.4505,0.492
S044,32,1,0.685021639,1,1,0.082,0.817,0.506
S044,32,2,0.676811695,,0,0.3265,0.6135,0.521
S044,32,3,0.700212419,,0,0.61975,0.492,0.563
S044,32,4,0.685243368,,0,0.6472,0.42,0.5784
S044,32,5,0.616313636,,0,0.6325,0.3225,0.534
S044,32,6,0.704202235,,0,0.684714286,0.401428571,0.556285714
S044,32,7,0.677823842,0.333333333,0.333333333,0.6378,0.4132,0.637
S044,32,8,0.669367194,,0,0.5816,0.448,0.5464
S044,32,9,0.668905973,,0,0.53225,0.469,0.5065
S044,33,0,0.695466816,0.166666667,0.166666667,0.676777778,0.444555556,0.610444444
S044,33,1,0.691400111,,0,0.629,0.572,0.681
S044,34,0,0.713091969,0.25,0.25,0.4616,0.6276,0.6414
S044,34,1,0.704211414,0.25,0.25,0.545571429,0.611714286,0.623285714
S044,35,0,0.667653501,0.222222222,0.222222222,0.564111111,0.425222222,0.616555556
S044,35,1,0.702216566,0.4,0.4,0.455333333,0.538833333,0.5335
S044,36,0,0.681276858,,0,0.593142857,0.401,0.537857143
S044,36,1,0.609869123,,0,0.6145,0.25,0.37
S044,37,0,0.671324074,0.2,0.2,0.505857143,0.509142857,0.515857143
S044,37,1,0.666291177,,0,0.6085,0.371,0.61
S044,37,2,0.660615742,,0,0.613333333,0.347,0.539666667
S044,37,3,0.651730895,,0,0.706666667,0.439333333,0.601333333
S044,37,4,0.668447852,,0,0.550666667,0.344666667,0.406
S044,37,5,0.665970981,0.5,0.5,0.7095,0.756,0.7975
S044,37,6,0.67165041,0.166666667,0.166666667,0.778142857,0.535428571,0.746714286
S044,38,0,0.618126214,,0,0.883,0.4855,0.8305
S044,39,0,0.671757519,,0,0.634909091,0.38,0.512
S044,39,1,0.669715047,,0,0.765,0.361,0.704
S044,39,2,0.676059008,0.2,0.2,0.624857143,0.434428571,0.605142857
S044,39,3,0.674954474,0.166666667,0.166666667,0.609727273,0.433272727,0.591727273
S044,39,4,0.685278296,0.2,0.2,0.581142857,0.560428571,0.621857143
S044,39,5,0.69697541,,0,0.717375,0.497625,0.6395
S044,39,6,0.674975455,,0,0.539142857,0.468571429,0.520714286
S044,39,7,0.653844416,,0,0.61,0.4788,0.5862
S044,39,8,0.667149603,,0,0.635666667,0.352,0.480333333
S044,40,0,0.682999432,,0,0.684833333,0.372916667,0.64625
S044,40,1,0.682532668,,0,0.701222222,0.432666667,0.607888889
S044,40,2,0.654135406,,0,0.641666667,0.520111111,0.647444444
S044,40,3,0.70298332,,0,0.5825,0.29325,0.57925
S044,40,4,0.664693892,,0,0.658333333,0.395666667,0.673666667
S044,40,5,0.673281074,,0,0.626727273,0.367909091,0.534272727
S044,40,6,0.663149536,,0,0.5084,0.3002,0.4664
S044,41,0,0.664385498,,0,0.6196,0.4709,0.6644
S044,41,1,0.65834862,,0,0.67375,0.435,0.58675
S044,41,2,0.653339446,0.2,0.2,0.4102,0.567,0.4856
S044,41,3,0.664254665,,0,0.597,0.4682,0.509
S044,42,0,0.6816594,0.2,0.2,0.5665,0.5056,0.6662
S044,42,1,0.684259772,0.166666667,0.166666667,0.813833333,0.517333333,0.716833333
S044,42,2,0.67263633,,0,0.69575,0.480375,0.662625
S044,43,0,0.662466705,,0,0.7378,0.4568,0.6028
S044,43,1,0.659157693,0.25,0.25,0.6815,0.63725,0.7135
S044,43,2,0.680343688,,0,0.4892,0.3056,0.4622
S044,43,3,0.672916412,,0,0.5065,0.27025,0.46925
S044,43,4,0.657094896,0.181818182,0.181818182,0.695428571,0.481571429,0.677785714
S044,43,5,0.667139053,0.214285714,0.214285714,0.520944444,0.553722222,0.646944444
S044,43,6,0.660388291,0.25,0.25,0.729142857,0.526857143,0.763571429
S044,44,0,0.670390546,0.142857143,0.142857143,0.5884375,0.512875,0.6320625
S044,44,1,0.6622293,,0,0.538,0.545,0.5615
S044,44,2,0.681353867,,0,0.480833333,0.546333333,0.609666667
S044,44,3,0.696703613,0.666666667,0.666666667,0.201333333,0.769666667,0.520666667
S044,44,4,0.684954524,,0,0.4835,0.552,0.5626
S044,45,0,0.671287,,0,0.652416667,0.392333333,0.5505
S044,45,1,0.67074275,,0,0.686714286,0.367,0.563857143
S044,45,2,0.683612108,,0,0.634333333,0.303333333,0.496666667
S044,45,3,0.672949612,,0,0.6055,0.21,0.4535
S044,45,4,0.672911048,0.2,0.2,0.61876,0.4208,0.62144
S044,46,0,0.677115381,0.166666667,0.166666667,0.635375,0.467875,0.597125
S044,46,1,0.698740304,,0,0.584666667,0.441333333,0.624222222
S044,46,2,0.676119745,0.333333333,0.333333333,0.4886,0.5664,0.6644
S044,46,3,0.683141589,,0,0.5908,0.4236,0.5246
S044,46,4,0.667287946,,0,0.629428571,0.375142857,0.61347619
S044,46,5,0.691744685,,0,0.6442,0.384,0.5612
S044,46,6,0.691324174,,0,0.849,0.4565,0.683
S044,46,7,0.691324174,,0,0.849,0.4565,0.683
S044,46,8,0.665918112,0.2,0.2,0.682333333,0.492666667,0.667111111
S044,46,9,0.676489234,,0,0.682090909,0.391,0.585727273
S044,46,10,0.685989678,,0,0.716230769,0.371846154,0.532461538
S044,46,11,0.664373815,,0,0.699833333,0.3815,0.454333333
S044,46,12,0.637244344,,0,0.786,0.408,0.618
S044,46,13,0.672713578,,0,0.693857143,0.31,0.550142857
S044,46,14,0.658946633,,0,,,
S044,46,15,0.658946633,,0,,,
S044,47,0,0.664307117,0.166666667,0.166666667,0.666714286,0.477714286,0.668714286
S044,47,1,0.674887061,,0,0.630272727,0.428545455,0.557
S044,47,2,0.668011546,,0,0.667333333,0.609333333,0.606333333
S044,47,3,0.680690765,,0,0.6262,0.4728,0.621
S044,47,4,0.652501523,,0,0.6615,0.498,0.625
S044,47,5,0.661713839,0.333333333,0.333333333,0.8108,0.5694,0.7756
S044,48,0,0.670236051,,0,0.5522,0.3644,0.545
S044,48,1,0.661870301,,0,0.568666667,0.367333333,0.537666667
S044,48,2,0.682358503,,0,0.751166667,0.456166667,0.6125
S044,48,3,0.667978823,,0,0.74125,0.5095,0.665625
S044,49,0,0.678729832,,0,0.5965,0.46775,0.48775
S044,49,1,0.663365006,,0,0.457,0.431333333,0.382666667
S044,49,2,0.671317518,0.333333333,0.333333333,0.56125,0.47975,0.48375
S044,49,3,0.66894573,,0,0.678,0.559285714,0.576428571
S044,50,0,0.686657667,0.1,0.1,0.618,0.467090909,0.601454545
S044,50,1,0.679063559,,0,0.8085,0.49,0.7205
S044,50,2,0.679063559,,0,0.8085,0.49,0.7205
