speech_id,line_id,sentence_id,sentence_text,anger
S005,0,0,"As a prosecutor, when I had a case, I charged it not in the name of the victim, but in the name of the people, for a simple reason.",0.0
S005,0,1,"In our system of justice, a harm against any one of us is a harm against all of us.",0.0
S005,0,2,"And I would often explain this to console survivors of crime, to remind them, no one should be made to fight alone.",0.045454545454545456
S005,0,3,We are all in this together.,0.0
S005,0,4,"And every day in the courtroom, I stood proudly before a judge and I said five words.",0.0
S005,0,5,"“Kamala Harris, for the people.”",0.0
S005,1,0,"And to be clear, my entire career, I’ve only had one client, the people, and so on behalf of the people; on behalf of every American, regardless of party, race, gender, or the language your grandmother speaks; on behalf of my mother and everyone who has ever set out on their own unlikely journey; on behalf of Americans like the people I grew up with, people who work hard, chase their dreams and look out for one another; on behalf of everyone whose story could only be written in the greatest nation on earth, I accept your nomination to be President of the United States of America.",0.0
S005,1,1,"And with this election, our nation… Our nation, with this election, has a precious, fleeting opportunity to move past the bitterness, cynicism, and divisive battles of the past, a chance to chart a new way forward, not as members of any one party or faction, but as Americans.",0.0
S005,2,0,"And let me say, I know there are people of various political views watching tonight, and I want you to know, I promise to be a president for all Americans.",0.0
S005,2,1,"You can always trust me to put country above party and self, to hold sacred America’s fundamental principles, from the rule of law, to free and fair elections, to the peaceful transfer of power.",0.0
S005,2,2,I will be a president who unites us around our highest aspirations.,0.0
S005,2,3,"A president who leads and listens, who is realistic, practical, and has common sense, and always fights for the American people.",0.0
S005,3,0,"From the courthouse to the White House, that has been my life’s work.",0.0
S005,3,1,"As a young courtroom prosecutor in Oakland, California, I stood up for women and children against predators who abused them.",0.0
S005,3,2,"As Attorney General of California, I took on the big banks, delivered $ 20 billion for middle class families who faced foreclosure, and helped pass a Homeowner Bill of Rights, one of the first of its kind in the nation.",0.025
S005,4,0,I stood up for veterans and students being scammed by big for-profit colleges.,0.0
S005,4,1,"For workers who are being cheated out of their wages, the wages they were due.",0.0
S005,4,2,For seniors facing elder abuse.,0.0
S005,4,3,"I fought against the cartels who traffic in guns and drugs and human beings, who threaten the security of our border and the safety of our communities.",0.037037037037037035
S005,5,0,"And I will tell you, these fights were not easy, and neither were the elections that put me in those offices.",0.0
S005,5,1,We were underestimated at practically every turn.,0.0
S005,5,2,"But we never gave up, because the future is always worth fighting for.",0.07692307692307693
S005,5,3,"And that’s the fight we are in right now, a fight for America’s future.",0.14285714285714285
S005,6,0,"Fellow Americans, this election is not only the most important of our lives, it is one of the most important in the life of our nation.",0.0
S005,6,1,"In many ways, Donald Trump is an unserious man.",0.0
S005,6,2,But the consequences of putting Donald Trump back in the White House are extremely serious.,0.0
S005,6,3,"Consider not only the chaos and calamity when he was in office, but also the gravity of what has happened since he lost the last election.",0.038461538461538464
S005,7,0,Donald Trump tried to throw away your votes.,0.0
S005,7,1,"When he failed, he sent an armed mob to the United States Capitol, where they assaulted law enforcement officers.",0.10526315789473684
S005,7,2,"When politicians in his own party begged him to call off the mob and send help, he did the opposite.",0.05
S005,7,3,He fanned the flames.,0.0
S005,7,4,"And now, for an entirely different set of crimes, he was found guilty of fraud by a jury of everyday Americans, and separately found liable for committing sexual abuse.",0.06896551724137931
S005,8,0,And consider what he intends to do if we give him power again.,0.0
S005,8,1,Consider his explicit intent to set free violent extremists who assaulted those law enforcement officers at the Capitol.,0.05555555555555555
S005,8,2,"His explicit intent to jail journalists, political opponents, and anyone he sees as the enemy.",0.0
S005,8,3,His explicit intent to deploy our active duty military against our own citizens.,0.0
S005,9,0,"Consider the power he will have, especially after the United States Supreme Court just ruled that he would be immune from criminal prosecution.",0.08695652173913043
S005,9,1,"Just imagine Donald Trump with no guardrails, and how he would use the immense powers of the presidency of the United States, not to improve your life, not to strengthen our national security, but to serve the only client he has ever had, himself.",0.0
